nr articolo,budget/consuntivo,Nr. Ordine di produzione,Descrizione,Nr. Area di produzione,Risorsa,Tempo risorsa,Quantità di output
ART0005136,BUDGET,ODP17-03788,Tornitura,A20,RIS2,0.75,1.00
ART0005136,BUDGET,ODP17-03788,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001886,BUDGET,ODP17-03845,Fresatura,A30,RIS7,3.50,0.00
ART0000790,BUDGET,ODP17-02941,Montaggio,A40,RIS4,0.50,1.00
ART0000790,BUDGET,ODP17-02941,Controllo qualità,CQ,RIS16,0.00,1.00
ART0003612,BUDGET,ODP17-03020,Tornitura,A20,RIS2,2.25,8.00
ART0001886,BUDGET,ODP17-03845,Fresatura,A30,RIS7,3.50,15.00
ART0004014,BUDGET,ODP17-03843,Fresatura,A30,RIS9,3.25,0.00
ART0004014,BUDGET,ODP17-03843,Tornitura,A20,RIS14,5.50,1.00
ART0004014,BUDGET,ODP17-03843,Tornitura,A20,RIS14,6.00,0.00
ART0004014,BUDGET,ODP17-03843,Fresatura,A30,RIS9,3.50,1.00
ART0001590,BUDGET,ODP17-03506,Controllo qualità,CQ,RIS16,0.00,4.00
ART0004014,BUDGET,ODP17-03843,Fresatura,A30,RIS9,0.75,1.00
ART0001669,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,4.00
ART0003275,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,8.00
ART0002284,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001913,BUDGET,ODP17-03579,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002017,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001515,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002719,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002718,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0000786,BUDGET,ODP17-03579,Montaggio,A40,RIS4,0.50,1.00
ART0000786,BUDGET,ODP17-03579,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001265,BUDGET,ODP17-03125,Tornitura,A20,RIS2,0.50,1.00
ART0001265,BUDGET,ODP17-03125,Tornitura,A20,RIS2,9.50,0.00
ART0000116,BUDGET,ODP17-02128,Tornitura,A20,RIS2,3.75,2.00
ART0000116,BUDGET,ODP17-02128,Fresatura,A30,RIS9,1.50,0.00
ART0000116,BUDGET,ODP17-02128,Fresatura,A30,RIS9,1.50,2.00
ART0001265,BUDGET,ODP17-03125,Fresatura,A30,RIS9,2.50,0.00
ART0001170,BUDGET,ODP17-04118,Tornitura,A20,RIS14,1.00,1.00
ART0001170,BUDGET,ODP17-04118,Tornitura,A20,RIS14,0.50,0.00
ART0001265,BUDGET,ODP17-03125,Fresatura,A30,RIS9,3.00,0.00
ART0002793,BUDGET,ODP17-03852,Fresatura,A30,RIS9,4.00,20.00
ART0001170,BUDGET,ODP17-04118,Fresatura,A30,RIS9,0.50,1.00
ART0001265,BUDGET,ODP17-03125,Tornitura,A20,RIS2,3.00,0.00
ART0001994,BUDGET,ODP17-04147,Fresatura,A30,RIS7,0.08,8.00
ART0001046,BUDGET,ODP17-04046,Fresatura,A30,RIS9,2.25,0.00
ART0002530,BUDGET,ODP17-03506,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001265,BUDGET,ODP17-03125,Tornitura,A20,RIS2,5.50,0.00
ART0001154,BUDGET,ODP17-03979,Tornitura,A20,RIS13,5.00,36.00
ART0001265,BUDGET,ODP17-03125,Fresatura,A30,RIS7,1.00,1.00
ART0001047,BUDGET,ODP17-04046,Fresatura,A30,RIS9,0.50,0.00
ART0005030,BUDGET,ODP17-03939,Tornitura,A20,RIS2,1.00,1.00
ART0001095,BUDGET,ODP17-04046,Fresatura,A30,RIS9,0.25,0.00
ART0001433,BUDGET,ODP17-03979,Tornitura,A20,RIS14,1.25,16.00
ART0001170,BUDGET,ODP17-04118,Tornitura,A20,RIS1,1.00,0.00
ART0001266,BUDGET,ODP17-03125,Tornitura,A20,RIS2,6.00,1.00
ART0001266,BUDGET,ODP17-03125,Fresatura,A30,RIS7,0.50,1.00
ART0005136,BUDGET,ODP17-04557,Tornitura,A20,RIS7,1.00,12.00
ART0005136,BUDGET,ODP17-04557,Tornitura,A20,RIS7,0.50,42.00
ART0001047,BUDGET,ODP17-04046,Fresatura,A30,RIS9,0.25,0.00
ART0003824,BUDGET,ODP17-03405,Tornitura,A20,RIS14,1.00,40.00
ART0003824,BUDGET,ODP17-03405,Tornitura,A20,RIS14,2.00,0.00
ART0002740,BUDGET,ODP17-03845,Tornitura,A20,RIS2,2.75,0.00
ART0002172,BUDGET,ODP17-04651,Tornitura,A20,RIS14,1.50,2.00
ART0001046,BUDGET,ODP17-04046,Fresatura,A30,RIS9,0.25,2.00
ART0002740,BUDGET,ODP17-03845,Tornitura,A20,RIS2,2.50,0.00
ART0001047,BUDGET,ODP17-04046,Fresatura,A30,RIS9,1.25,2.00
ART0002172,BUDGET,ODP17-04651,Fresatura,A30,RIS9,0.50,2.00
ART0001095,BUDGET,ODP17-04046,Fresatura,A30,RIS9,1.00,1.00
ART0002740,BUDGET,ODP17-03845,Tornitura,A20,RIS2,1.25,0.00
ART0002740,BUDGET,ODP17-03845,Tornitura,A20,RIS2,1.00,35.00
ART0001170,BUDGET,ODP17-04118,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001433,BUDGET,ODP17-03979,Controllo qualità,CQ,RIS16,0.00,16.00
ART0001776,BUDGET,ODP17-03577,Tornitura,A20,RIS14,2.50,4.00
ART0001768,BUDGET,ODP17-03844,Tornitura,A20,RIS14,1.50,2.00
ART0002740,BUDGET,ODP17-03845,Fresatura,A30,RIS7,2.00,0.00
ART0001266,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001154,BUDGET,ODP17-03979,Controllo qualità,CQ,RIS16,0.00,36.00
ART0002793,BUDGET,ODP17-03852,Controllo qualità,CQ,RIS16,0.00,20.00
ART0001994,BUDGET,ODP17-04147,Controllo qualità,CQ,RIS16,0.00,8.00
ART0001265,BUDGET,ODP17-03125,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002740,BUDGET,ODP17-03845,Fresatura,A30,RIS7,3.00,35.00
ART0001776,BUDGET,ODP17-03577,Fresatura,A30,RIS7,1.25,4.00
ART0001768,BUDGET,ODP17-03844,Fresatura,A30,RIS7,0.75,2.00
ART0001761,BUDGET,ODP17-03730,Fresatura,A30,RIS7,0.75,2.00
ART0003277,BUDGET,ODP17-04828,Fresatura,A30,RIS9,4.25,11.00
ART0003277,BUDGET,ODP17-04828,Fresatura,A30,RIS9,-1.00,0.00
ART0003277,BUDGET,ODP17-04828,Fresatura,A30,RIS9,0.50,0.00
ART0005136,BUDGET,ODP17-04557,Tornitura,A20,RIS2,0.50,0.00
ART0005136,BUDGET,ODP17-04557,Tornitura,A20,RIS2,1.75,0.00
ART0005136,BUDGET,ODP17-04557,Tornitura,A20,RIS2,0.25,0.00
ART0005136,BUDGET,ODP17-04557,Tornitura,A20,RIS2,0.75,0.00
ART0002502,BUDGET,ODP17-03938,Fresatura,A30,RIS9,1.25,7.00
ART0002502,BUDGET,ODP17-03938,Tornitura,A20,RIS14,1.50,7.00
ART0002502,BUDGET,ODP17-03938,Tornitura,A20,RIS14,0.75,0.00
ART0004386,BUDGET,ODP17-03849,Tornitura,A20,RIS14,2.50,26.00
ART0004386,BUDGET,ODP17-03849,Controllo qualità,CQ,RIS16,0.00,26.00
ART0000853,BUDGET,ODP17-02480,Montaggio,A40,RIS4,1.50,10.00
ART0001047,BUDGET,ODP17-04046,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001046,BUDGET,ODP17-04046,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001095,BUDGET,ODP17-04046,Controllo qualità,CQ,RIS16,0.00,1.00
ART0003277,BUDGET,ODP17-04828,Controllo qualità,CQ,RIS16,0.00,11.00
ART0005136,BUDGET,ODP17-05306,Tornitura,A20,RIS2,5.00,12.00
ART0005136,BUDGET,ODP17-04538,Montaggio,A40,RIS4,0.25,0.00
ART0005136,BUDGET,ODP17-04538,Montaggio,A40,RIS4,0.25,0.00
ART0001889,BUDGET,ODP17-03577,Controllo qualità,CQ,RIS16,0.00,4.00
ART0001869,BUDGET,ODP17-03730,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001886,BUDGET,ODP17-03845,Controllo qualità,CQ,RIS16,0.00,15.00
ART0001880,BUDGET,ODP17-03844,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001775,BUDGET,ODP17-03845,Tornitura,A20,RIS14,8.00,30.00
ART0001775,BUDGET,ODP17-03845,Tornitura,A20,RIS14,4.50,0.00
ART0001775,BUDGET,ODP17-03845,Tornitura,A20,RIS14,3.00,0.00
ART0001218,BUDGET,ODP17-04800,Tornitura,A20,RIS2,0.50,1.00
ART0001873,BUDGET,ODP17-04558,Tornitura,A20,RIS14,3.50,2.00
ART0002172,BUDGET,ODP17-04651,Controllo qualità,CQ,RIS16,0.00,2.00
ART0003824,BUDGET,ODP17-03405,Controllo qualità,CQ,RIS16,0.00,40.00
ART0002385,BUDGET,ODP17-03853,Controllo qualità,CQ,RIS16,0.00,18.00
ART0001775,BUDGET,ODP17-03845,Fresatura,A30,RIS7,6.50,30.00
ART0001993,BUDGET,ODP17-04147,Tornitura,A20,RIS2,2.00,1.00
ART0001897,BUDGET,ODP17-04829,Tornitura,A20,RIS1,8.00,0.00
ART0001775,BUDGET,ODP17-03845,Fresatura,A30,RIS7,1.25,0.00
ART0001873,BUDGET,ODP17-04558,Fresatura,A30,RIS7,3.25,2.00
ART0001993,BUDGET,ODP17-04147,Fresatura,A30,RIS7,0.50,1.00
ART0001768,BUDGET,ODP17-03844,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001776,BUDGET,ODP17-03577,Controllo qualità,CQ,RIS16,0.00,4.00
ART0001897,BUDGET,ODP17-04829,Tornitura,A20,RIS1,7.00,21.00
ART0000320,BUDGET,ODP17-04831,Tornitura,A20,RIS2,1.00,3.00
ART0001942,BUDGET,ODP17-05185,Tornitura,A20,RIS14,3.25,2.00
ART0001931,BUDGET,ODP17-04799,Tornitura,A20,RIS14,4.50,2.00
ART0001775,BUDGET,ODP17-03845,Controllo qualità,CQ,RIS16,0.00,29.00
ART0000320,BUDGET,ODP17-04831,Tornitura,A20,RIS2,1.75,0.00
ART0000779,BUDGET,ODP17-03577,Montaggio,A40,RIS4,0.50,2.00
ART0000152,BUDGET,ODP17-03785,Tornitura,A20,RIS2,1.50,1.00
ART0002740,BUDGET,ODP17-03845,Controllo qualità,CQ,RIS16,0.00,35.00
ART0000779,BUDGET,ODP17-03577,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001884,BUDGET,ODP17-05348,Tornitura,A20,RIS14,4.50,10.00
ART0001942,BUDGET,ODP17-05185,Fresatura,A30,RIS7,3.25,2.00
ART0000848,BUDGET,ODP17-03845,Montaggio,A40,RIS4,2.00,15.00
ART0000848,BUDGET,ODP17-03845,Controllo qualità,CQ,RIS16,0.00,15.00
ART0001162,BUDGET,ODP17-04147,Tornitura,A20,RIS2,2.25,1.00
ART0002107,BUDGET,ODP17-03853,Tornitura,A20,RIS14,1.25,9.00
ART0000151,BUDGET,ODP17-03785,Tornitura,A20,RIS2,2.50,1.00
ART0001931,BUDGET,ODP17-04799,Fresatura,A30,RIS7,3.00,0.00
ART0001117,BUDGET,ODP17-04390,Tornitura,A20,RIS2,0.25,1.00
ART0001866,BUDGET,ODP17-04829,Tornitura,A20,RIS1,8.00,0.00
ART0001162,BUDGET,ODP17-04147,Fresatura,A30,RIS7,0.50,1.00
ART0001117,BUDGET,ODP17-04390,Tornitura,A20,RIS2,1.50,0.00
ART0005011,BUDGET,ODP17-03791,Tornitura,A20,RIS14,0.50,2.00
ART0005011,BUDGET,ODP17-03791,Tornitura,A20,RIS14,2.00,0.00
ART0001609,BUDGET,ODP17-04147,Tornitura,A20,RIS2,1.00,6.00
ART0001866,BUDGET,ODP17-04829,Tornitura,A20,RIS1,6.00,0.00
ART0001931,BUDGET,ODP17-04799,Fresatura,A30,RIS7,4.00,2.00
ART0001272,BUDGET,ODP17-04828,Tornitura,A20,RIS14,6.00,11.00
ART0000641,BUDGET,ODP17-04653,Preparazione materiale,A10,RIS11,0.50,5.00
ART0001272,BUDGET,ODP17-04828,Fresatura,A30,RIS7,0.50,0.00
ART0005029,BUDGET,ODP17-05182,Tornitura,A20,RIS2,0.75,1.00
ART0000772,BUDGET,ODP17-03844,Montaggio,A40,RIS4,1.00,1.00
ART0005030,BUDGET,ODP17-03939,Tornitura,A20,RIS2,1.50,0.00
ART0005029,BUDGET,ODP17-05182,Tornitura,A20,RIS2,1.50,0.00
ART0000638,BUDGET,ODP17-04653,Fresatura,A30,RIS9,1.00,10.00
ART0001866,BUDGET,ODP17-04829,Tornitura,A20,RIS1,5.00,0.00
ART0001866,BUDGET,ODP17-04829,Tornitura,A20,RIS1,6.00,0.00
ART0000152,BUDGET,ODP17-03785,Fresatura,A30,RIS7,0.25,1.00
ART0000772,BUDGET,ODP17-03844,Controllo qualità,CQ,RIS16,0.00,1.00
ART0005030,BUDGET,ODP17-03939,Tornitura,A20,RIS2,0.25,0.00
ART0000151,BUDGET,ODP17-03785,Fresatura,A30,RIS7,0.75,1.00
ART0004420,BUDGET,ODP17-05267,Tornitura,A20,RIS14,2.00,10.00
ART0001921,BUDGET,ODP17-05018,Tornitura,A20,RIS14,1.00,9.00
ART0001921,BUDGET,ODP17-05018,Tornitura,A20,RIS14,3.00,0.00
ART0001921,BUDGET,ODP17-05018,Tornitura,A20,RIS14,0.50,0.00
ART0001866,BUDGET,ODP17-04829,Tornitura,A20,RIS1,2.00,16.00
ART0001866,BUDGET,ODP17-04829,Fresatura,A30,RIS1,0.00,0.00
ART0004420,BUDGET,ODP17-05267,Controllo qualità,CQ,RIS16,0.00,10.00
ART0000797,BUDGET,ODP17-03730,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002107,BUDGET,ODP17-03853,Fresatura,A30,RIS7,0.75,9.00
ART0001866,BUDGET,ODP17-04829,Brocciatura / stozzatrice,A33,RIS1,0.50,16.00
ART0001117,BUDGET,ODP17-04390,Tornitura,A20,RIS2,4.50,0.00
ART0000638,BUDGET,ODP17-04653,Controllo qualità,CQ,RIS16,0.00,10.00
ART0001272,BUDGET,ODP17-04828,Fresatura,A30,RIS9,8.00,0.00
ART0005011,BUDGET,ODP17-03791,Fresatura,A30,RIS7,3.50,2.00
ART0004374,BUDGET,ODP17-05344,Tornitura,A20,RIS2,1.00,0.00
ART0000697,BUDGET,ODP17-05737,Tornitura,A20,RIS2,2.75,4.00
ART0001884,BUDGET,ODP17-05348,Fresatura,A30,RIS7,4.25,0.00
ART0001272,BUDGET,ODP17-04828,Fresatura,A30,RIS9,10.00,11.00
ART0000697,BUDGET,ODP17-05737,Controllo qualità,CQ,RIS16,0.00,4.00
ART0001884,BUDGET,ODP17-05348,Fresatura,A30,RIS7,1.00,10.00
ART0005030,BUDGET,ODP17-03939,Tornitura,A20,RIS2,2.50,0.00
ART0005029,BUDGET,ODP17-05182,Tornitura,A20,RIS2,1.50,0.00
ART0002107,BUDGET,ODP17-03853,Controllo qualità,CQ,RIS16,0.00,3.00
ART0002370,BUDGET,ODP17-05964,Fresatura,A30,RIS9,0.50,1.00
ART0004374,BUDGET,ODP17-05344,Tornitura,A20,RIS11,3.00,102.00
ART0004374,BUDGET,ODP17-05344,Controllo qualità,CQ,RIS16,0.00,102.00
ART0001921,BUDGET,ODP17-05018,Fresatura,A30,RIS7,4.75,9.00
ART0001913,BUDGET,ODP17-05735,Fresatura,A30,RIS9,1.00,1.00
ART0001940,BUDGET,ODP17-05734,Tornitura,A20,RIS1,2.00,2.00
ART0001940,BUDGET,ODP17-05734,Tornitura,A20,RIS14,3.00,2.00
ART0001788,BUDGET,ODP17-04558,Tornitura,A20,RIS14,4.00,2.00
ART0004373,BUDGET,ODP17-05344,Tornitura,A20,RIS2,0.50,0.00
ART0001940,BUDGET,ODP17-05734,Tornitura,A20,RIS1,2.00,0.00
ART0001940,BUDGET,ODP17-05734,Fresatura,A30,RIS7,2.50,2.00
ART0001117,BUDGET,ODP17-04390,Tornitura,A20,RIS2,2.00,0.00
ART0001788,BUDGET,ODP17-04558,Fresatura,A30,RIS7,4.50,2.00
ART0000641,BUDGET,ODP17-04653,Tornitura,A20,RIS2,0.75,5.00
ART0004373,BUDGET,ODP17-05344,Tornitura,A20,RIS11,4.00,102.00
ART0004373,BUDGET,ODP17-05344,Controllo qualità,CQ,RIS16,0.00,102.00
ART0001117,BUDGET,ODP17-04390,Fresatura,A30,RIS7,1.25,1.00
ART0003940,BUDGET,ODP17-04824,Tornitura,A20,RIS14,3.00,3.00
ART0003940,BUDGET,ODP17-04824,Tornitura,A20,RIS14,3.00,0.00
ART0000641,BUDGET,ODP17-04653,Fresatura,A30,RIS7,2.00,5.00
ART0001113,BUDGET,ODP17-04390,Tornitura,A20,RIS2,1.75,1.00
ART0005136,BUDGET,ODP17-05736,Controllo qualità,CQ,RIS16,0.00,2.00
ART0002152,BUDGET,ODP17-05184,Tornitura,A20,RIS14,1.50,6.00
ART0003940,BUDGET,ODP17-04824,Fresatura,A30,RIS9,2.00,0.00
ART0003940,BUDGET,ODP17-04824,Fresatura,A30,RIS9,4.00,0.00
ART0003940,BUDGET,ODP17-04824,Fresatura,A30,RIS9,1.00,3.00
ART0005011,BUDGET,ODP17-03791,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001113,BUDGET,ODP17-04390,Fresatura,A30,RIS9,0.50,1.00
ART0001113,BUDGET,ODP17-04390,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001110,BUDGET,ODP17-04390,Fresatura,A30,RIS9,1.00,1.00
ART0002107,BUDGET,ODP17-03853,Controllo qualità,CQ,RIS16,0.00,6.00
ART0002370,BUDGET,ODP17-05964,Controllo qualità,CQ,RIS16,0.00,1.00
ART0002173,BUDGET,ODP17-05019,Tornitura,A20,RIS14,2.00,3.00
ART0002173,BUDGET,ODP17-05019,Tornitura,A20,RIS14,-2.00,0.00
ART0002173,BUDGET,ODP17-05019,Tornitura,A20,RIS14,2.00,0.00
ART0001117,BUDGET,ODP17-04390,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001129,BUDGET,ODP17-04390,Fresatura,A30,RIS7,1.00,2.00
ART0000223,BUDGET,ODP17-05309,Rettifica,A34,RIS13,2.50,17.00
ART0002173,BUDGET,ODP17-05019,Fresatura,A30,RIS7,1.50,3.00
ART0001492,BUDGET,ODP17-05019,Tornitura,A20,RIS2,0.75,3.00
ART0001190,BUDGET,ODP17-05019,Tornitura,A20,RIS2,1.25,6.00
ART0001590,BUDGET,ODP17-05307,Tornitura,A20,RIS2,0.75,5.00
ART0002152,BUDGET,ODP17-05184,Fresatura,A30,RIS7,0.25,0.00
ART0001110,BUDGET,ODP17-04390,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001129,BUDGET,ODP17-04390,Controllo qualità,CQ,RIS16,0.00,2.00
ART0000223,BUDGET,ODP17-05309,Fresatura,A30,RIS9,3.00,0.00
ART0001868,BUDGET,ODP17-05535,Tornitura,A20,RIS1,8.00,0.00
ART0000320,BUDGET,ODP17-04831,Fresatura,A30,RIS7,1.00,3.00
ART0000223,BUDGET,ODP17-05309,Fresatura,A30,RIS9,0.50,0.00
ART0000151,BUDGET,ODP17-03785,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001788,BUDGET,ODP17-04558,Controllo qualità,CQ,RIS16,0.00,2.00
ART0002554,BUDGET,ODP17-04799,Tornitura,A20,RIS2,2.00,2.00
ART0002152,BUDGET,ODP17-05184,Fresatura,A30,RIS7,1.00,6.00
ART0001868,BUDGET,ODP17-05535,Tornitura,A20,RIS1,9.00,0.00
ART0002476,BUDGET,ODP17-05186,Tornitura,A20,RIS14,2.50,15.00
ART0002554,BUDGET,ODP17-04799,Fresatura,A30,RIS7,0.50,2.00
ART0002476,BUDGET,ODP17-05186,Fresatura,A30,RIS7,1.00,15.00
ART0000223,BUDGET,ODP17-05309,Fresatura,A30,RIS9,2.25,0.00
ART0000784,BUDGET,ODP17-04558,Montaggio,A40,RIS4,0.75,2.00
ART0000784,BUDGET,ODP17-04558,Controllo qualità,CQ,RIS16,0.00,2.00
ART0000223,BUDGET,ODP17-05309,Fresatura,A30,RIS9,1.00,0.00
ART0000152,BUDGET,ODP17-03785,Controllo qualità,CQ,RIS16,0.00,1.00
ART0001149,BUDGET,ODP17-05186,Tornitura,A20,RIS14,0.50,9.00
ART0001149,BUDGET,ODP17-05186,Tornitura,A20,RIS14,2.50,0.00
ART0001759,BUDGET,ODP17-04829,Fresatura,A30,RIS7,3.50,16.00
ART0001785,BUDGET,ODP17-04829,Fresatura,A30,RIS7,3.75,0.00
ART0001868,BUDGET,ODP17-05535,Tornitura,A20,RIS1,3.00,50.00
ART0001868,BUDGET,ODP17-05535,Fresatura,A30,RIS1,0.00,0.00
ART0001759,BUDGET,ODP17-04829,Controllo qualità,CQ,RIS16,0.00,16.00
ART0001785,BUDGET,ODP17-04829,Fresatura,A30,RIS7,3.25,20.00
ART0000762,BUDGET,ODP17-06164,Montaggio,A40,RIS4,3.00,10.00
ART0000320,BUDGET,ODP17-04831,Controllo qualità,CQ,RIS16,0.00,3.00
ART0000762,BUDGET,ODP17-06164,Controllo qualità,CQ,RIS16,0.00,10.00
ART0001785,BUDGET,ODP17-04829,Controllo qualità,CQ,RIS16,0.00,20.00
ART0004886,BUDGET,ODP17-05706,Tornitura,A20,RIS2,4.25,0.00
ART0004886,BUDGET,ODP17-05706,Tornitura,A20,RIS2,2.50,0.00
ART0004397,BUDGET,ODP17-05344,Tornitura,A20,RIS11,2.00,30.00
ART0001821,BUDGET,ODP17-04799,Fresatura,A30,RIS7,1.25,0.00
ART0000223,BUDGET,ODP17-05309,Fresatura,A30,RIS9,0.75,0.00
ART0001149,BUDGET,ODP17-05186,Controllo qualità,CQ,RIS16,0.00,5.00
ART0001821,BUDGET,ODP17-04799,Fresatura,A30,RIS7,0.50,2.00
ART0001811,BUDGET,ODP17-05018,Tornitura,A20,RIS14,7.00,12.00
ART0001811,BUDGET,ODP17-05018,Tornitura,A20,RIS14,1.50,0.00
ART0000782,BUDGET,ODP17-06375,Montaggio,A40,RIS4,0.75,2.00
ART0000782,BUDGET,ODP17-06375,Controllo qualità,CQ,RIS16,0.00,2.00
ART0004397,BUDGET,ODP17-05344,Tornitura,A20,RIS2,2.25,0.00
ART0002173,BUDGET,ODP17-05019,Controllo qualità,CQ,RIS16,0.00,3.00
ART0001590,BUDGET,ODP17-05307,Controllo qualità,CQ,RIS16,0.00,5.00
ART0000223,BUDGET,ODP17-05309,Fresatura,A30,RIS9,1.75,17.00
ART0001832,BUDGET,ODP17-05185,Fresatura,A30,RIS7,2.25,2.00
ART0000313,BUDGET,ODP17-05181,Controllo qualità,CQ,RIS16,0.00,12.00
ART0004886,BUDGET,ODP17-05706,Tornitura,A20,RIS2,4.75,0.00
ART0001886,BUDGET,ODP17-06375,Tornitura,A20,RIS1,8.00,15.00
ART0001886,BUDGET,ODP17-06375,Fresatura,A30,RIS1,0.00,0.00
ART0004886,BUDGET,ODP17-05706,Tornitura,A20,RIS2,1.75,12.00
ART0000125,BUDGET,ODP17-02966,Tornitura,A20,RIS14,2.50,3.00
ART0000125,BUDGET,ODP17-02966,Tornitura,A20,RIS14,2.00,0.00
ART0004724,BUDGET,ODP17-06606,Tornitura,A20,RIS13,0.25,3.00
ART0004727,BUDGET,ODP17-06606,Tornitura,A20,RIS13,0.25,3.00
ART0004726,BUDGET,ODP17-06606,Tornitura,A20,RIS13,0.25,3.00
ART0004725,BUDGET,ODP17-06606,Tornitura,A20,RIS13,0.25,3.00
ART0001811,BUDGET,ODP17-05018,Fresatura,A30,RIS7,3.00,0.00
ART0001170,BUDGET,ODP17-06127,Preparazione materiale,A10,RIS2,1.75,1.00
ART0004397,BUDGET,ODP17-05344,Tornitura,A20,RIS2,1.00,0.00
ART0004885,BUDGET,ODP17-05706,Tornitura,A20,RIS1,3.00,13.00
ART0001913,BUDGET,ODP17-07201,Fresatura,A30,RIS9,0.75,1.00
ART0004397,BUDGET,ODP17-05344,Tornitura,A20,RIS11,2.00,0.00
ART0004886,BUDGET,ODP17-05706,Fresatura,A30,RIS9,3.00,0.00
ART0004397,BUDGET,ODP17-05344,Tornitura,A20,RIS11,3.00,71.00
ART0004886,BUDGET,ODP17-05706,Fresatura,A30,RIS9,0.50,0.00
ART0001811,BUDGET,ODP17-05018,Fresatura,A30,RIS7,6.00,12.00
ART0004885,BUDGET,ODP17-05706,Fresatura,A30,RIS9,1.00,0.00
ART0000795,BUDGET,ODP17-04829,Montaggio,A40,RIS4,3.00,8.00
ART0000795,BUDGET,ODP17-06164,Montaggio,A40,RIS4,3.00,10.00
ART0004886,BUDGET,ODP17-05706,Fresatura,A30,RIS9,0.50,0.00
ART0002476,BUDGET,ODP17-05186,Controllo qualità,CQ,RIS16,0.00,15.00
ART0000795,BUDGET,ODP17-04829,Controllo qualità,CQ,RIS16,0.00,8.00
ART0000795,BUDGET,ODP17-06164,Controllo qualità,CQ,RIS16,0.00,10.00
ART0001811,BUDGET,ODP17-05018,Controllo qualità,CQ,RIS16,0.00,12.00
ART0004886,BUDGET,ODP17-05706,Saldatura,A11,RIS13,2.50,12.00
ART0001170,BUDGET,ODP17-06127,Fresatura,A30,RIS7,0.75,1.00
ART0001940,BUDGET,ODP17-07204,Tornitura,A20,RIS2,2.25,4.00
ART0000125,BUDGET,ODP17-02966,Fresatura,A30,RIS7,0.75,0.00
ART0004836,BUDGET,ODP17-05468,Fresatura,A30,RIS9,1.00,0.00
ART0001940,BUDGET,ODP17-07204,Tornitura,A20,RIS14,2.50,0.00
ART0001940,BUDGET,ODP17-07204,Tornitura,A20,RIS14,1.50,0.00
ART0002554,BUDGET,ODP17-04799,Controllo qualità,CQ,RIS16,0.00,2.00
ART0001890,BUDGET,ODP17-06373,Tornitura,A20,RIS14,2.00,2.00
ART0000125,BUDGET,ODP17-02966,Fresatura,A30,RIS7,1.00,3.00
ART0002152,BUDGET,ODP17-05184,Controllo qualità,CQ,RIS16,0.00,6.00
ART0000223,BUDGET,ODP17-05309,Controllo qualità,CQ,RIS16,0.00,16.00
ART0004836,BUDGET,ODP17-05468,Fresatura,A30,RIS9,2.50,20.00
ART0000762,BUDGET,ODP17-04829,Montaggio,A40,RIS4,5.00,20.00
ART0004885,BUDGET,ODP17-05706,Saldatura,A11,RIS13,1.00,0.00
ART0004886,BUDGET,ODP17-05706,Saldatura,A11,RIS13,1.00,0.00
ART0001170,BUDGET,ODP17-06127,Saldatura,A11,RIS13,0.25,1.00
ART0000115,BUDGET,ODP17-04831,Fresatura,A30,RIS7,3.00,3.00
ART0004886,BUDGET,ODP17-05706,Tornitura,A20,RIS2,4.50,0.00
ART0004885,BUDGET,ODP17-05706,Fresatura,A30,RIS9,2.75,0.00
ART0001890,BUDGET,ODP17-06373,Tornitura,A20,RIS2,0.75,0.00
ART0001409,BUDGET,ODP17-05018,Tornitura,A20,RIS14,2.00,50.00
ART0001409,BUDGET,ODP17-05018,Controllo qualità,CQ,RIS16,0.00,50.00
ART0004886,BUDGET,ODP17-05706,Fresatura,A30,RIS9,2.00,12.00
ART0001940,BUDGET,ODP17-07204,Fresatura,A30,RIS7,2.75,4.00
ART0001868,BUDGET,ODP17-05535,Controllo qualità,CQ,RIS16,0.00,50.00
